"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Bowen in Chicago, Illinois","Ron Anderson","Right","1958","10","15",182.88,213.36,96.75
"Oak Ridge in El Dorado Hills, California","Ryan Anderson","Right","1988","05","06",182.88,304.8,94.5
"Crim in Atlanta, Georgia","Shandon Anderson","Right","1973","12","31",182.88,182.88,93.6
"East Atlanta in Atlanta, Georgia","Willie Anderson","Right","1967","01","08",182.88,213.36,85.5
"Creighton Preparatory School in Omaha, Nebraska","Wally Anderzunas","Right","1946","01","11",182.88,213.36,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Martynas Andriuskevicius","Right","1986","03","12",213.36,60.96,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Don Anielak","Right","1930","11","01",182.88,213.36,85.5
"Centennial in Corono, California","Ike Anigbogu","Right","1998","10","17",182.88,304.8,112.5
"Jackson-Olin in Birmingham, Alabama","Michael Ansley","Right","1967","02","08",182.88,213.36,101.25
"Catholic Regional College in Melbourne, Australia","Chris Anstey","Right","1975","01","01",213.36,0,112.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Giannis Antetokounmpo","Right","1994","12","06",182.88,335.28,108.9
"Dominican HS in Whitefish Bay, Wisconsin","Kostas Antetokounmpo","Right","1997","11","20",182.88,304.8,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Thanasis Antetokounmpo","Right","1992","07","17",182.88,213.36,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Carmelo Anthony","Right","1984","05","29",182.88,243.84,108
"Rancho in North Las Vegas, Nevada","Greg Anthony","Left","1967","11","15",182.88,0,79.2
"Dawson College in Montreal, Canada","Joel Anthony","Left","1982","08","09",182.88,274.32,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Pero Antic","Right","1982","07","29",182.88,335.28,117
"Jefferson City in Jefferson City, Missouri","OG Anunoby","Right","1997","07","17",182.88,243.84,104.4
"Pershing in Detroit, Michigan","Keith Appling","Right","1992","02","13",182.88,30.48,83.25
"Padre Anacleto in Sao Paulo, Brazil","Rafael Araujo","Right","1980","08","12",182.88,335.28,126
"Taft in New York, New York","Stacey Arceneaux","Right","1936","02","17",182.88,121.92,94.5
"Lafayette in Ballwin, Missouri","Robert Archibald","Right","1980","03","29",182.88,335.28,112.5
"DeWitt Clinton in Bronx, New York","Tiny Archibald","Left","1948","09","02",182.88,30.48,67.5
"Neshaminy in Langhorne, Pennsylvania","Ryan Arcidiacono","Right","1994","03","26",182.88,91.44,90
"Thornton Township in Harvey, Illinois","Jim Ard","Right","1948","09","19",182.88,243.84,96.75
"Grant in Van Nuys, California","Gilbert Arenas","Right","1982","01","06",182.88,91.44,85.95
"Westchester in Los Angeles, California","Trevor Ariza","Right","1985","06","30",182.88,243.84,96.75
"La Salle College in Philadelphia, Pennsylvania","Paul Arizin","Right","1928","04","09",182.88,121.92,85.5
"Jefferson in Rochester, New York","Joe Arlauckas","Right","1965","07","20",182.88,274.32,103.5
"Brother Rice in Birmingham, Michigan","B.J. Armstrong","Right","1967","09","09",182.88,60.96,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob Armstrong","Right","1933","06","17",182.88,243.84,99
"Vallejo in Vallejo, California","Brandon Armstrong","Left","1980","06","16",182.88,152.4,84.6
"Central in Fort Wayne, Indiana","Curly Armstrong","Right","1918","11","01",152.4,335.28,76.5
"Ashbrook in Gastonia, North Carolina","Darrell Armstrong","Right","1968","06","22",182.88,0,76.5
"Peekskill in Peekskill, New York","Hilton Armstrong","Right","1984","11","11",182.88,335.28,105.75
"Spring Woods in Houston, Texas","Tate Armstrong","Right","1955","10","05",182.88,91.44,78.75
"New Rochelle in New Rochelle, New York","Jesse Arnelle","Right","1933","12","30",182.88,152.4,99
"McCallum in Austin, Texas","Jay Arnette","Right","1938","12","19",182.88,60.96,78.75
"Saint Xavier in Cincinnati, Ohio","Bob Arnzen","Right","1947","11","03",182.88,152.4,92.25
"Colegio Santiago Apostol in Fajardo, Puerto Rico","Carlos Arroyo","Right","1979","07","30",182.88,60.96,90.9
"South Oak Cliff in Dallas, Texas","Darrell Arthur","Right","1988","03","25",182.88,274.32,105.75
"De La Salle in New Orleans, Louisiana","John Arthurs","Right","1947","08","15",182.88,121.92,83.25
"Notre Dame Prep in Fitchburg, Massachusetts","Jamel Artis","Right","1993","01","12",182.88,213.36,95.85
"Oak Hill Academy in Mouth of Wilson, Virginia","Omer Asik","Right","1986","07","04",213.36,0,114.75
"Frayser in Memphis, Tennessee","Vincent Askew","Right","1966","02","28",182.88,182.88,94.5
"Athens in Athens, Alabama","Keith Askins","Right","1967","12","15",182.88,213.36,88.65
"Homestead in Homestead, Pennsylvania","Don Asmonga","Right","1928","02","15",182.88,60.96,83.25
"Otterbein in Otterbein, Indiana","Dick Atha","Right","1931","09","21",182.88,60.96,85.5
"Evans in Orlando, Florida","Chucky Atkins","Right","1974","08","14",152.4,335.28,72
"Weequahic in Newark, New Jersey","Al Attles","Right","1936","11","07",182.88,0,78.75
"Horace Mann in Gary, Indiana","Chet Aubuchon","Right","1916","05","18",152.4,304.8,61.65
"John Muir in Pasadena, California","Stacey Augmon","Left","1968","08","01",182.88,243.84,92.25
"Hightower in Missouri City, Texas","D.J. Augustin","Right","1987","11","10",182.88,0,82.35
"Lincoln-Way Central in Mokena, Illinois","James Augustine","Left","1984","02","27",182.88,304.8,105.75
"Las Plumas in Oroville, California","Isaac Austin","Right","1969","08","18",182.88,304.8,114.75
"DeMatha Catholic in Hyattsville, Maryland","Johnny Austin","Right","1944","08","31",182.88,0,76.5
"Verbum Dei in Los Angeles, California","Ken Austin","Right","1961","07","15",182.88,274.32,92.25
"Malcolm X Shabazz in Newark, New Jersey","Anthony Avent","Right","1969","10","18",182.88,274.32,105.75
"Hopkinsville in Hopkinsville, Kentucky","Bird Averitt","Left","1952","07","22",182.88,30.48,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","William Avery","Right","1979","08","08",182.88,60.96,88.65
"Blackford in San Jose, California","Dennis Awtrey","Right","1948","02","22",182.88,304.8,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gustavo Ayon","Right","1985","04","01",182.88,304.8,112.5
"Etiwanda in Rancho Cucamonga, California","Jeff Ayres","Right","1987","04","29",182.88,274.32,108
"Hillcrest Prep Academy in Phoenix, Arizona","Deandre Ayton","Right","1998","07","23",213.36,30.48,112.5
"Victory Christian in Tulsa, Oklahoma","Kelenna Azubuike","Right","1983","12","16",182.88,152.4,99
"The Oakridge School in Arlington, Texas","Chris Babb","Right","1990","02","14",182.88,152.4,101.25
"Galena in Reno, Nevada","Luke Babbitt","Left","1989","06","20",182.88,274.32,101.25
