"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Oak Hill Academy in Mouth of Wilson, Virginia","Ed Manning","Right","1944","01","02",182.88,213.36,94.5
"Butler in Oakwood, Texas","Guy Manning","Right","1944","02","04",182.88,182.88,87.75
"Center in North Highlands, California","Rich Manning","Right","1970","06","23",182.88,335.28,113.85
"Chaparral in Las Vegas, Nevada","Pace Mannion","Right","1960","09","22",182.88,213.36,85.5
"Washington in East Chicago, Indiana","Nick Mantis","Right","1935","12","07",182.88,91.44,85.5
"Edward Military Institute in Salemberg, North Carolina","Pete Maravich","Right","1947","06","22",182.88,152.4,88.65
"Logstown in Logstown, Pennsylvania","Press Maravich","Right","1920","08","20",182.88,0,83.25
"Lathrup in Southfield, Michigan","Devyn Marble","Right","1992","09","21",182.88,182.88,90
"Beecher in Flint, Michigan","Roy Marble","Right","1966","12","13",182.88,182.88,85.5
"Abraham Lincoln in Brooklyn, New York","Stephon Marbury","Right","1977","02","20",182.88,60.96,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Sarunas Marciulionis","Left","1964","06","13",182.88,152.4,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Saul Mariaschin","Right","1924","09","01",152.4,335.28,74.25
"Farrell in Farrell, Pennsylvania","Jack Marin","Left","1944","10","12",182.88,213.36,90
"Clarksville in Clarksville, Tennessee","Shawn Marion","Right","1978","05","07",182.88,213.36,99
"Oak Hill Academy in Mouth of Wilson, Virginia","Boban Marjanovic","Right","1988","08","15",213.36,91.44,130.5
"Helsinki Academy in Helsinki, Finland","Lauri Markkanen","Right","1997","05","22",213.36,0,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Damir Markota","Right","1985","12","26",182.88,304.8,101.25
"Rangitoto School in Auckland, New Zealand","Sean Marks","Right","1975","08","23",182.88,304.8,112.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Harvey Marlatt","Right","1948","08","26",182.88,91.44,83.25
"Pasadena in Pasadena, California","Jim Marsh","Right","1946","04","26",182.88,213.36,96.75
"Jamaica in Jamaica, New York","Ricky Marsh","Right","1954","03","10",182.88,91.44,90
"Federal Way in Federal Way, Washington","Donny Marshall","Right","1972","07","17",182.88,213.36,103.5
"Reading in Reading, Pennsylvania","Donyell Marshall","Right","1973","05","18",182.88,274.32,98.1
"Bishop O'Connell in Arlington, Virginia","Kendall Marshall","Left","1991","08","19",182.88,121.92,90
"Mackenzie in Detroit, Michigan","Rawle Marshall","Right","1982","02","20",182.88,274.32,85.5
"Mount Juliet in Mount Juliet, Tennessee","Tom Marshall","Right","1931","01","06",182.88,121.92,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Vester Marshall","Right","1948","12","22",182.88,213.36,90
"McKinley in Washington, District of Columbia","Bill Martin","Right","1962","08","16",182.88,213.36,92.25
"Apple Valley in Apple Valley, Minnesota","Bob Martin","Right","1969","10","07",213.36,0,112.5
"Northwest in Wichita, Kansas","Brian Martin","Right","1962","08","18",182.88,274.32,95.4
"Aldine Nimitz in Houston, Texas","Cartier Martin","Right","1984","11","20",182.88,213.36,99
"Lincoln in East St. Louis, Illinois","Cuonzo Martin","Right","1971","09","23",182.88,152.4,95.85
"Saint Anthony in Long Beach, California","Darrick Martin","Left","1971","03","06",152.4,335.28,76.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Dino Martin","Right","1920","05","25",152.4,243.84,72
"Oak Hill Academy in Mouth of Wilson, Virginia","Don Martin","Right","1920","02","07",182.88,213.36,94.5
"Estudiantes in Madrid, Spain","Fernando Martin","Right","1962","03","25",182.88,274.32,99
"Madison Prep in Baton Rouge, Louisiana","Jarell Martin","Right","1994","05","24",182.88,304.8,107.55
"Cross Country in Cherry Valley, Arkansas","Jeff Martin","Right","1967","01","14",182.88,152.4,87.75
"Bryan Adams in Dallas, Texas","Kenyon Martin","Right","1977","12","30",182.88,274.32,105.3
"Zanesville in Zanesville, Ohio","Kevin Martin","Right","1983","02","01",182.88,213.36,89.55
"De La Salle Institute in Chicago, Illinois","LaRue Martin","Right","1950","03","30",182.88,335.28,93.6
"Central in Liberty, New York","Maurice Martin","Right","1964","07","02",182.88,182.88,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Phil Martin","Right","1928","04","02",182.88,91.44,85.5
"Jefferson Davis in Houston, Texas","Slater Martin","Right","1925","10","22",152.4,304.8,76.5
"Bishop Timon in Buffalo, New York","Whitey Martin","Right","1939","04","11",182.88,60.96,83.25
"Cardinal Hayes in Bronx, New York","Jamal Mashburn","Right","1972","11","29",182.88,243.84,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Al Masino","Right","1928","02","05",152.4,304.8,78.3
"Springfield Gardens in Springfield Gardens, New York","Anthony Mason","Left","1966","12","14",182.88,213.36,112.5
"Waxahachie in Waxahachie, Texas","Desmond Mason","Right","1977","10","11",182.88,213.36,100.8
"Petersburg in Petersburg, Virginia","Frank Mason III","Right","1994","04","03",152.4,335.28,85.5
"Good Counsel in Wheaton, Maryland","Roger Mason","Right","1980","09","10",182.88,152.4,90
"Sussex Central in Sussex, Virginia","Tony Massenburg","Right","1967","07","31",182.88,274.32,99
"Darby-Colwyn in Darby, Pennsylvania","Eddie Mast","Right","1948","10","03",182.88,274.32,99
"Bloomfield Hills HS in Bloomfield Hills, Michigan","Yante Maten","Right","1996","08","14",182.88,243.84,108
"IMG Academy in Bradenton, Florida","Mangok Mathiang","Right","1992","10","08",182.88,304.8,103.5
"Peabody in Eastman, Georgia","Johnny Mathis","Right","1943","07","14",182.88,182.88,99
"Harding in Bridgeport, Connecticut","Wes Matthews","Right","1959","08","24",182.88,30.48,76.5
"James Madison Memorial in Madison, Wisconsin","Wesley Matthews","Right","1986","10","14",182.88,152.4,99
"South Cache in Hyrum, Utah","Ariel Maughan","Right","1923","02","23",182.88,121.92,85.5
"Percy L. Julian in Chicago, Illinois","Marlon Maxey","Right","1969","02","19",182.88,243.84,112.5
"Newman Smith in Carrollton, Texas","Jason Maxiell","Right","1983","02","18",182.88,213.36,117
"Kinston in Kinston, North Carolina","Cedric Maxwell","Right","1955","11","21",182.88,243.84,92.25
"Buchholz in Gainesville, Florida","Vernon Maxwell","Right","1965","09","12",182.88,121.92,81
"Belmont in Dayton, Ohio","Don May","Left","1946","01","03",182.88,121.92,90
"Sandusky in Sandusky, Ohio","Scott May","Right","1954","03","19",182.88,213.36,96.75
"Bloomington North in Bloomington, Indiana","Sean May","Right","1984","04","04",182.88,274.32,119.7
"Will Rogers in Tulsa, Oklahoma","Lee Mayberry","Right","1970","06","12",182.88,30.48,77.4
"Wade Hampton in Greenville, South Carolina","Clyde Mayes","Right","1953","03","17",182.88,243.84,101.25
"Hillhouse in New Haven, Connecticut","Tharon Mayes","Right","1968","09","09",182.88,91.44,78.75
"Cass Technical in Detroit, Michigan","Bill Mayfield","Right","1957","10","17",182.88,213.36,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Ken Mayfield","Right","1948","05","11",182.88,60.96,83.25
"Westover in Fayetteville, North Carolina","Eric Maynor","Right","1987","06","11",182.88,91.44,78.75
"Huntington in Huntington, West Virginia","O.J. Mayo","Right","1987","11","05",182.88,152.4,94.5
"Vanguard in Ocala, Florida","Travis Mays","Right","1968","06","19",182.88,60.96,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Matt Mazza","Right","1923","09","23",182.88,91.44,94.5
"Monteverde Academy in St. Monteverde, Florida","Luc Mbah a Moute","Right","1986","09","09",182.88,243.84,103.5
"Ben Smith in Greensboro, North Carolina","Bob McAdoo","Right","1951","09","25",182.88,274.32,94.5
"Norfolk Christian in Norfolk, Virginia","James Michael McAdoo","Right","1993","01","04",182.88,274.32,103.5
"Centralia in Centralia, Illinois","Ken McBride","Right","1948","07","26",182.88,91.44,85.5
"Engineering & Science in Philadelphia, Pennsylvania","Tahjere McCall","Right","1994","08","17",182.88,152.4,87.75
"Detroit County Day School in , Michigan","Ray McCallum","Right","1991","06","12",182.88,91.44,85.5
"Morristown in Morristown, New Jersey","Bob McCann","Left","1964","04","22",182.88,182.88,109.8
"Manual Training in Brooklyn, New York","Brendan McCann","Right","1935","07","05",182.88,60.96,80.1
"Mount Carmel in Chicago, Illinois","Mel McCants","Right","1967","08","19",182.88,243.84,108
"New Hampton School in New Hampton, New Hampshire","Rashad McCants","Right","1984","09","25",182.88,121.92,93.15
"Newtown in Elmhurst, New York","Mike McCarron","Right","1922","03","02",152.4,335.28,81
"Overbrook in Philadelphia, Pennsylvania","Andre McCarter","Right","1953","08","25",182.88,91.44,85.5
"Roosevelt in Gary, Indiana","Willie McCarter","Right","1946","07","26",182.88,91.44,78.75
"Bishop Timon in Buffalo, New York","Johnny McCarthy","Right","1934","04","25",182.88,30.48,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Howie McCarty","Right","1948","07","26",182.88,60.96,85.5
"Quitman in Quitman, Mississippi","Kelly McCarty","Right","1975","08","24",182.88,213.36,90
"Harrison in Evansville, Indiana","Walter McCarty","Right","1974","02","01",182.88,304.8,103.5
"St. Joseph in Westchester, Illinois","Amal McCaskill","Right","1973","10","28",182.88,335.28,105.75
"Montrose Christian in Rockville, Maryland","Patrick McCaw","Right","1995","10","25",182.88,213.36,83.25
"Holy Name in Worcester, Massachusetts","Dwayne McClain","Right","1963","02","07",182.88,182.88,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Ted McClain","Right","1946","08","30",182.88,30.48,81
"Visalia in Visalia, California","Dan McClintock","Right","1977","04","19",213.36,0,121.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Jack McCloskey","Right","1925","09","19",182.88,60.96,85.5
"Mainland in Daytona Beach, Florida","George McCloud","Right","1967","05","27",182.88,182.88,92.25
"Glen Oak in Canton, Ohio","CJ McCollum","Right","1991","09","19",182.88,91.44,85.5
"Oak Hill Academy in Mouth of Wilson, Virginia","John McConathy","Right","1930","04","09",182.88,152.4,87.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Bucky McConnell","Right","1928","07","01",152.4,304.8,76.5
"Chartiers Valley in Bridgeville, Pennsylvania","T.J. McConnell","Right","1992","03","25",182.88,60.96,85.5
"West End in Birmingham, Alabama","Keith McCord","Right","1957","06","22",182.88,213.36,94.5
"Clarkston in Clarkston, Michigan","Tim McCormick","Right","1962","03","10",182.88,335.28,108
"Saint Augustine in San Diego, California","Jelani McCoy","Right","1977","12","06",182.88,304.8,110.25
"Hillhouse in New Haven, Connecticut","Paul McCracken","Right","1950","09","11",182.88,121.92,81
"Fairmont Heights in Capitol Heights, Maryland","Chris McCray","Right","1984","05","27",182.88,152.4,86.4
"Mount Vernon in Mount Vernon, New York","Rodney McCray","Right","1961","08","29",182.88,213.36,99
"Mount Vernon in Mount Vernon, New York","Scooter McCray","Right","1960","02","08",182.88,274.32,96.75
"West Orange in Winter Garden, Florida","Erik McCree","Left","1993","12","20",182.88,243.84,101.25
"IMG Academy in Bradenton, Florida","Chris McCullough","Right","1995","02","05",182.88,335.28,90
"Lima in Lima, Ohio","John McCullough","Right","1956","10","05",182.88,121.92,85.5
"Booker T. Washington in Tulsa, Oklahoma","Clint McDaniel","Right","1972","02","26",182.88,121.92,81
"A.C. Flora in Columbia, South Carolina","Xavier McDaniel","Right","1963","06","04",182.88,213.36,92.25
"Allen County in Scottsville, Kentucky","Jim McDaniels","Right","1948","04","02",182.88,335.28,102.6
"Central Park Christian School in Birmingham, Alabama","K.J. McDaniels","Right","1993","02","09",182.88,182.88,92.25
"Ames in Ames, Iowa","Doug McDermott","Right","1992","01","03",182.88,243.84,101.25
"Long Beach Polytechnic in Long Beach, California","Ben McDonald","Right","1962","07","20",182.88,243.84,94.5
"Jefferson in Los Angeles, California","Glenn McDonald","Right","1952","03","18",182.88,182.88,85.5
"Longview in Longview, Texas","Michael McDonald","Right","1969","02","13",182.88,304.8,104.4
"Oak Hill Academy in Mouth of Wilson, Virginia","Roderick McDonald","Right","1945","04","09",182.88,182.88,92.25
"Treadwell in Memphis, Tennessee","Hank McDowell","Right","1959","11","13",182.88,274.32,96.75
"Quitman in Quitman, Mississippi","Antonio McDyess","Right","1974","09","07",182.88,274.32,99
"Murray-Wright in Detroit, Michigan","Jim McElroy","Right","1953","10","04",182.88,91.44,85.5
"John F. Kennedy in Willingboro, New Jersey","Patrick McFarland","Right","1951","12","07",182.88,152.4,83.25
"Willowridge in Houston, Texas","Ivan McFarlin","Right","1982","04","26",182.88,243.84,108
"Mabelville in Mabelville, Arkansas","Mel McGaha","Right","1926","09","26",182.88,30.48,85.5
"Brewster Academy in Wolfeboro, New Hampshire","Mitch McGary","Left","1992","06","06",182.88,304.8,114.75
"Hales Franciscan in Chicago, Illinois","JaVale McGee","Right","1988","01","19",213.36,0,121.5
"North in Omaha, Nebraska","Mike McGee","Right","1959","07","29",182.88,152.4,85.5
"Jefferson in Los Angeles, California","Bill McGill","Right","1939","09","16",182.88,274.32,101.25
"George Washington in Indianapolis, Indiana","George McGinnis","Right","1950","08","12",182.88,243.84,105.75
"Franklin in Franklin, Indiana","Jon McGlocklin","Right","1943","06","10",182.88,152.4,92.25
"Mount Zion Christian Academy in Durham, North Carolina","Tracy McGrady","Right","1979","05","24",182.88,243.84,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Gil McGregor","Right","1949","06","14",182.88,243.84,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Elton McGriff","Right","1942","08","21",182.88,274.32,101.25
"Arlington Country Day in Jacksonville, Florida","Rodney McGruder","Right","1991","07","29",182.88,121.92,90
"St. John's Preparatory School in Brooklyn, New York","Alfred McGuire","Right","1928","09","07",182.88,60.96,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Allie McGuire","Right","1951","07","10",182.88,91.44,78.75
"La Salle Academy in New York, New York","Dick McGuire","Right","1926","01","25",182.88,0,81
"Lincoln in San Diego, California","Dominic McGuire","Right","1985","10","20",182.88,274.32,99
"Hibbing in Hibbing, Minnesota","Kevin McHale","Right","1957","12","19",182.88,304.8,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Maurice McHartley","Right","1942","08","01",182.88,91.44,83.25
"St. Catherine in Racine, Wisconsin","Jim McIlvaine","Right","1972","07","30",213.36,30.48,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Jeff McInnis","Right","1974","10","22",182.88,121.92,85.5
"South Haven in South Haven, Michigan","Kenny McIntosh","Right","1949","01","21",182.88,213.36,101.25
"Holy Cross in Flushing, New York","Bob McIntyre","Right","1944","01","23",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Jerry McKee","Right","1946","08","04",182.88,91.44,85.5
"Palatine Township in Palatine, Illinois","Kevin McKenna","Right","1959","01","08",182.88,152.4,87.75
"Pasadena in Pasadena, California","Forrest McKenzie","Right","1963","02","16",182.88,213.36,90
"Miami Northwestern in Miami, Florida","Stan McKenzie","Right","1944","10","06",182.88,152.4,87.75
"Meridian in Meridian, Mississippi","Derrick McKey","Right","1966","10","10",182.88,274.32,92.25
"Simon Gratz in Philadelphia, Pennsylvania","Aaron McKie","Right","1972","10","02",182.88,152.4,94.05
"Zion-Benton in Zion, Illinois","Billy McKinney","Left","1955","06","05",182.88,0,72
"Durham in Durham, North Carolina","Bones McKinney","Right","1919","01","01",182.88,182.88,83.25
"Nixon in Nixon, Texas","Carlton McKinney","Right","1964","10","21",182.88,121.92,85.5
"South Milwaukee in South Milwaukee, Wisconsin","Trey McKinney-Jones","Right","1990","08","27",182.88,152.4,96.3
"John Marshall in Chicago, Illinois","Alfonzo McKinnie","Right","1992","09","17",182.88,243.84,96.75
"Christian Life Center in Humble, Texas","Ben McLemore","Right","1993","02","11",182.88,152.4,90.45
"Jack Yates in Houston, Texas","McCoy McLemore","Right","1942","04","03",182.88,213.36,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","George McLeod","Right","1931","01","03",182.88,152.4,90
"McKinley in Canton, Ohio","Keith McLeod","Right","1979","11","05",182.88,60.96,84.6
"Saint Anthony's in Jersey City, New Jersey","Roshown McLeod","Right","1975","11","17",182.88,243.84,99.45
"Saint Michael's in Brooklyn, New York","Jack McMahon","Right","1928","12","03",182.88,30.48,83.25
"Enloe in Raleigh, North Carolina","Nate McMillan","Right","1964","08","03",182.88,152.4,87.75
"Mansfield in Mansfield, Pennsylvania","Tom McMillen","Left","1952","05","26",182.88,335.28,96.75
"Thomas Jefferson in Brooklyn, New York","Jim McMillian","Right","1948","03","11",182.88,152.4,96.75
"DuSable in Chicago, Illinois","Shellie McMillon","Right","1936","03","11",182.88,152.4,92.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Mal McMullen","Right","1927","08","23",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Chet McNabb","Right","1920","09","19",182.88,60.96,90
"Del Mar in San Jose, California","Mark McNamara","Left","1959","06","08",182.88,335.28,105.75
"Saint Ignatius in San Francisco, California","Joe McNamee","Right","1926","09","24",182.88,182.88,94.5
"Hillcrest in Country Club Hills, Illinois","Jerel McNeal","Right","1987","06","01",182.88,91.44,90
"Roosevelt in Fresno, California","Chris McNealy","Right","1961","07","15",182.88,213.36,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Bob McNeill","Left","1938","10","22",182.88,30.48,76.5
"Westinghouse in New York, New York","Larry McNeill","Right","1951","01","31",182.88,274.32,87.75
"Washington Township in Washington Township, Indiana","Carl McNulty","Right","1930","02","14",182.88,91.44,83.25
"South Shore in Chicago, Illinois","Paul McPherson","Right","1978","07","03",182.88,121.92,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Roy McPipe","Right","1950","05","05",182.88,91.44,92.25
"Bennettsville in Bennettsville, South Carolina","Cozell McQueen","Right","1962","01","18",182.88,335.28,105.75
"Liberty County in Hinesville, Georgia","Jordan McRae","Right","1991","03","28",182.88,152.4,80.55
"Oak Hill Academy in Mouth of Wilson, Virginia","Thales McReynolds","Right","1943","06","08",182.88,91.44,83.25
"Carmel in Carmel, Indiana","Josh McRoberts","Left","1987","02","28",182.88,304.8,108
"Oak Hill Academy in Mouth of Wilson, Virginia","Eric McWilliams","Right","1950","04","18",182.88,243.84,90
"Westerly in Westerly, Rhode Island","George Mearns","Right","1922","04","18",182.88,91.44,78.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Stanislav Medvedenko","Right","1979","04","04",182.88,304.8,112.5
"Cleveland in Cleveland, Tennessee","Darnell Mee","Right","1971","02","11",182.88,152.4,78.75
"Norcross in Norcross, Georgia","Jodie Meeks","Right","1987","08","21",182.88,121.92,94.5
"Harlan in Chicago, Illinois","Cliff Meely","Right","1947","07","10",182.88,243.84,96.75
"Herscher in Herscher, Illinois","Scott Meents","Right","1964","01","04",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Dick Mehen","Right","1922","05","20",182.88,152.4,87.75
"Wilbur Wright in Dayton, Ohio","Monk Meineke","Right","1930","10","30",182.88,213.36,93.6
"Hazleton in Hazleton, Pennsylvania","Carl Meinhold","Right","1926","03","29",182.88,60.96,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Salah Mejri","Right","1986","06","15",213.36,60.96,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Gal Mekel","Right","1988","03","04",182.88,91.44,85.95
"Bishop Eustace in Pennsauken, New Jersey","Bill Melchionni","Right","1944","10","19",182.88,30.48,74.25
"Bishop Eustace in Pennsauken, New Jersey","Gary Melchionni","Left","1951","01","19",182.88,60.96,83.25
"Sagemont School in Sagemont, Florida","Fab Melo","Right","1990","06","20",213.36,0,114.75
"Crespi HS in Encino, California","De'Anthony Melton","Right","1998","05","28",182.88,121.92,90
"South in Pittsburgh, Pennsylvania","Ed Melvin","Right","1916","02","13",152.4,274.32,76.5
"Rice in New York, New York","Dean Meminger","Right","1948","05","13",182.88,0,78.75
"Eau Claire in Eau Claire, Wisconsin","Chuck Mencel","Right","1933","04","21",182.88,0,75.6
"Wilkie in Elwood, Indiana","John Mengelt","Right","1949","10","16",182.88,60.96,87.75
"Dundee in Dundee, Illinois","Ken Menke","Right","1922","10","02",182.88,0,75.6
"Saint Augustine College Preparatory School in Richland, New Jersey","Pops Mensah-Bonsu","Right","1983","09","07",182.88,274.32,108
"Central in South Bend, Indiana","Dewitt Menyard","Right","1944","05","24",182.88,304.8,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Ron Mercer","Right","1976","05","18",182.88,213.36,94.5
"Central in Phenix City, Alabama","Joe Meriweather","Right","1953","10","26",182.88,304.8,96.75
"Lincoln in Evansville, Indiana","Porter Meriwether","Right","1940","03","16",182.88,60.96,81
"Lowell in San Francisco, California","Tom Meschery","Right","1938","10","26",182.88,182.88,96.75
"Lawndale HS in Lawndale, California","Chimezie Metu","Right","1997","03","22",182.88,304.8,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bill Meyer","Right","1943","08","30",182.88,91.44,87.75
"Ruthven-Ayrshire in Ruthven, Iowa","Loren Meyer","Right","1972","12","30",182.88,304.8,115.65
"Sonora in LaHabra, California","Dave Meyers","Right","1953","04","21",182.88,243.84,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Stan Miasek","Right","1923","09","19",182.88,152.4,94.5
"Evan E. Worthing in Houston, Texas","Larry Micheaux","Right","1960","03","24",182.88,274.32,99
"Prime Prep Academy in Dallas, Texas","Jordan Mickey","Right","1994","07","09",182.88,243.84,105.75
"Porter-Gaud in North Charleston, South Carolina","Khris Middleton","Right","1991","08","12",182.88,243.84,99.9
"Ford City in Ford City, Pennsylvania","Red Mihalik","Right","1916","09","22",182.88,0,81
"Westlake in Austin, Texas","Chris Mihm","Right","1979","07","16",213.36,0,119.25
"Joliet Catholic in Joliet, Illinois","Ed Mikan","Right","1925","10","20",182.88,243.84,103.5
"Archbishop Quigley Preparatory Seminary in Chicago, Illinois","George Mikan","Right","1924","06","18",182.88,304.8,110.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Larry Mikan","Right","1948","04","08",182.88,213.36,94.5
"Askov in Askov, Minnesota","Vern Mikkelsen","Right","1928","10","21",182.88,213.36,103.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Al Miksis","Right","1928","02","02",182.88,213.36,94.5
"Jefferson in Portland, Oregon","Aaron Miles","Right","1983","04","13",182.88,30.48,78.75
"Skyline in Dallas, Texas","C.J. Miles","Left","1987","03","18",182.88,182.88,99
"East St. Louis in East St. Louis, Illinois","Darius Miles","Right","1981","10","09",182.88,274.32,94.5
"Scipio Jones in Little Rock, Arkansas","Eddie Miles","Right","1940","07","05",182.88,121.92,87.75
"Kranj in Kranj, Slovenia","Marko Milic","Right","1977","05","07",182.88,182.88,105.75
"Hemiska in Novi Sad, Serbia","Darko Milicic","Left","1985","06","20",213.36,0,112.5
"Stuyvesant in New York, New York","Nat Militzok","Right","1923","05","03",182.88,91.44,87.75
"Verbum Dei in Los Angeles, California","Andre Miller","Right","1976","03","19",182.88,91.44,90
"Benton Harbor in Benton Harbor, Michigan","Anthony Miller","Right","1971","10","22",182.88,274.32,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Bill Miller","Right","1924","11","24",182.88,91.44,85.5
"Central in Louisville, Kentucky","Bob Miller","Left","1956","07","09",182.88,304.8,103.5
"Maine Central Institute in Pittsfield, Maine","Brad Miller","Right","1976","04","12",182.88,335.28,109.8
"Mason County in Maysville, Kentucky","Darius Miller","Right","1990","03","21",182.88,243.84,101.25
"More in Milwaukee, Wisconsin","Dick Miller","Right","1958","04","26",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Eddie Miller","Right","1931","06","18",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Harry Miller","Right","1923","07","28",182.88,121.92,103.5
"Goshen in Goshen, Indiana","Jay Miller","Right","1943","07","19",182.88,152.4,92.25
"Catasauqua in Catasauqua, Pennsylvania","Larry Miller","Right","1946","04","04",182.88,121.92,85.5
"Gaithersburg in Gaithersburg, Maryland","Malcolm Miller","Right","1993","03","06",182.88,213.36,94.5
"Mitchell in Mitchell, South Dakota","Mike Miller","Right","1980","02","19",182.88,243.84,98.1
"Southwest in Fort Worth, Texas","Oliver Miller","Right","1970","04","06",182.88,274.32,126
"Westchester Country Day in High Point, North Carolina","Quincy Miller","Right","1992","11","18",182.88,274.32,94.5
"Riverside Polytech in Riverside, California","Reggie Miller","Right","1965","08","24",182.88,213.36,83.25
"Homestead in Homestead, Pennsylvania","Walt Miller","Right","1915","07","30",182.88,60.96,85.5
"Fairfax in Los Angeles, California","Chris Mills","Right","1970","01","25",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","John Mills","Right","1919","09","07",182.88,243.84,91.35
"Marist College Canberra in Canberra, Australia","Patty Mills","Right","1988","08","11",182.88,0,81
"Romulus in Romulus, Michigan","Terry Mills","Right","1967","12","21",182.88,304.8,103.5
"Grambling in Grambling, Louisiana","Elijah Millsap","Right","1987","08","12",182.88,182.88,101.25
"Grambling in Grambling, Louisiana","Paul Millsap","Right","1985","02","10",182.88,243.84,110.7
"Owasso HS in Owasso, Oklahoma","Shake Milton","Right","1996","09","26",182.88,182.88,93.15
"Inglewood in Inglewood, California","Harold Miner","Left","1971","05","05",182.88,152.4,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Yao Ming","Right","1980","09","12",213.36,182.88,139.5
"Lafayette in Lexington, Kentucky","Dirk Minniefield","Right","1961","01","17",182.88,91.44,81
"Froebel in Gary, Indiana","Dave Minor","Right","1922","02","23",182.88,60.96,83.25
"Washington County in Sandersville, Georgia","Greg Minor","Right","1971","09","18",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Mark Minor","Right","1950","05","14",182.88,182.88,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Nikola Mirotic","Right","1991","02","11",182.88,304.8,112.5
"Ogden in Ogden, Utah","Wat Misaka","Right","1923","12","21",152.4,213.36,67.5
"Montgomery Blair in Silver Spring, Maryland","Jason Miskiri","Right","1975","08","19",182.88,60.96,78.75
"Brewster Academy in Wolfeboro, New Hampshire","Donovan Mitchell","Right","1996","09","07",182.88,91.44,96.75
"Kiln in Kiln, Mississippi","Leland Mitchell","Right","1941","02","22",182.88,121.92,94.5
"Price in Atlanta, Georgia","Mike Mitchell","Right","1956","01","01",182.88,213.36,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Murray Mitchell","Right","1923","03","19",182.88,182.88,94.5
"Columbus in Columbus, Georgia","Sam Mitchell","Right","1963","09","02",182.88,182.88,94.5
"Saint Francis in Toledo, Ohio","Todd Mitchell","Right","1966","07","26",182.88,213.36,92.25
"Swainsboro in Swainsboro, Georgia","Tony Mitchell","Right","1989","08","07",182.88,182.88,97.2
"L.G. Pinkston in Dallas, Texas","Tony Mitchell","Right","1992","04","07",182.88,243.84,105.75
"St. Martin in Mississauga, Canada","Naz Mitrou-Long","Right","1993","08","03",182.88,121.92,98.1
"Rogers in Toledo, Ohio","Steve Mix","Left","1947","12","30",182.88,213.36,96.75
"Stephen F. Palmer in Palmerton, Pennsylvania","Bill Mlkvy","Right","1931","01","19",182.88,121.92,85.5
"Maine Central Institute in Pittsfield, Maine","Cuttino Mobley","Left","1975","09","01",182.88,121.92,85.5
"Salesian in New Rochelle, New York","Eric Mobley","Right","1970","02","01",182.88,335.28,105.75
"The Bullis School in Potomac, Maryland","Doug Moe","Right","1938","09","21",182.88,152.4,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Larry Moffett","Right","1954","11","05",182.88,243.84,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Leo Mogus","Right","1921","04","13",182.88,121.92,85.5
